Rank,Kanji,Word,Part of Speech,English Translation,Phrase,English Phrase
2059,奪う,ubau,v.,"rob, take by force; fascinate",彼らは自由と権利をうばわれた。,They were deprived of their rights and freedom.
2060,三ヶ月,san kagetsu,n.,three months,日本に来てから三ヶ月が過ぎた。,Three months have passed since I came to Japan.
2061,注文（する）,chuumon(suru),n. v.,order<br>order,私はコーヒーを三つ注文した。,I ordered three coffees.
2062,傷,kizu,n.,injury; scratch; bruise; flaw; stain,この車は傷がある。,This car has a scratch.
2063,外国人,gaikoku-jin,n.,foreigner,最近外国人のお客さんの数が多くなってい る。,Recently the number of foreign customers has been increasing.
2064,八時,hachi ji,n.,eight o’clock,授業は八時に始まる。,The class starts at eight.
2065,冷蔵庫,reizou-ko,n.,refrigerator,冷蔵庫からビールを出して。,Get a beer out of the refrigerator.
2066,任せる,makaseru,v.,"entrust, leave",それは私に任せて。,Leave it to me.
2067,配慮（する）,hairyo(suru),n. v.,consideration<br>consider,我が社は環境に十分配慮しております。,My company is greatly concerned about the environment.
2068,赤,aka,n.,red,好きな色は赤です。,My favorite color is red.
2069,かぶる,kaburu,v.,"put on, cover",外に出るなら帽子をかぶりなさい。,Put your hat on if you go outside.
2070,海外旅行,kaigai ryokou,n.,"travel abroad, foreign trip",今年の夏海外旅行に行くつもりだ。,I am going to travel abroad this summer.
2071,営業（する）,eigyou(suru),n. v.,"business, sales<br>do business",私は営業を担当しています。,I am in charge of sales.
2072,水,sui,n.,Wed(nesday),授業は水曜にあります。,The class will be held on Wednesday.
2073,なるほど,naruhodo,adv.,"I see, indeed, to be sure, of course",なるほど。それで彼のことが嫌いなんだ。,I see. That’s why you hate him.
2074,空港,kuukou,n.,airport,空港に友達を見送りに行った。,I went to the airport to see my friend off.
2075,交換（する）,koukan(suru),n. v.,exchange<br>exchange,クリスマスにはパーティーをしてプレゼントを 交換する。,We have a party and exchange gifts at Christmas.
2076,生える,haeru,v.,"grow, sprout, cut (teeth)",息子はまだ歯が生えていない。,My son hasn’t cut his first tooth yet.
2077,防ぐ,fusegu,v.,"defend, protect; prevent, keep away",彼らは交通事故を防ぐためのキャンペーンを 始めた。,They began a campaign to prevent traffic accidents.
2078,ホームページ,hoomupeeji,n.,home page,詳しくは弊社のホームページをご覧ください。,"For more details, visit our website."
2079,妊娠（する）,ninshin(suru),n. v.,pregnancy<br>get pregnant,彼女は妊娠している。,She is pregnant.
2080,貸す,kasu,v.,"lend, rent",ペンを貸していただけますか。,Would you lend me your pen?
2081,ママ,mama,n.,"mom, mummy",おやすみなさい、ママ。,"Good night, mom."
2082,空く,aku,v.,"become vacant, be free",この後空いてる？,Are you free after this?
2083,危ない,abunai,i-adj.,"dangerous, risky; questionable",そこに一人で行くのは危ないよ。,It’s dangerous to go there alone.
2084,まっすぐ,massugu,n. adv.,"straight, direct<br>honest",まっすぐ歩けないほど彼は酔っ払った。,He got so drunk that he was unable to walk straight.
2085,映像,eizou,n.,"picture, image, video",防犯カメラの映像が証拠として使われた。,Video from a security camera was used as evidence.
2086,壊れる,kowareru,v.,"be broken, be damaged; be destroyed",コンピュータが壊れている。,My computer is broken.
2087,破壊（する）,hakai(suru),n. v.,"destruction, demolition<br>destroy, demolish",私たちは自然環境を破壊している。,We are destroying the natural environment.
2088,削除（する）,sakujo(suru),n. v.,deletion<br>delete,このファイルは削除してください。,Please delete this file.
2089,派遣（する）,haken(suru),"n., v.","dispatch, send",多くの国が日本に救助隊を派遣した。,Many countries sent rescue teams to Japan.
2090,カード,kaado,n.,card,カードで払ってもいいですか。,Can I pay by credit card?
2091,改正（する）,kaisei(suru),n. v.,amendment<br>amend,その法律は1999年に改正された。,The law was amended in 1999.
2092,世間,seken,n.,"world, public, society",世間の目なんて気にしない。,I don’t care how society sees us.
2093,手伝う,tetsudau,v.,help,宿題を手伝ってくれませんか。,Can you help with my homework?
2094,社員,shain,n.,"employee, member of staff",彼はうちの社員です。,He is an employee of our company.
2095,月,getsu,n.,"Monday, Mon.",ごみの日は月・木です。,The garbage collection days are Monday and Thursday.
2096,信頼（する）,shinrai(suru),"n., v.","trust, rely on",彼は上司から信頼されている。,He is trusted by his boss.
2097,沿う,sou,v.,"go along; in line with, according to, meet",私達は川に沿って歩いた。,We walked along the river.
2098,輝く,kagayaku,v.,"shine, glitter, twinkle, glow",たくさんの星が空に輝いている。,Many stars are shining in the sky.
2099,三時,san ji,n.,three o’clock,三時までに必ず来てください。,Be sure to come here by three o’clock.
2100,ペット,petto,n.,pet,ペットを飼おうと思っている。,I think I’ll get a pet.
2101,世,yo,n.,"world, public; age, reign",その大学は十一万人以上の卒業生を世に送り 出した。,"The university has turned out over 110,000 graduates."
2102,不可能,fu-kanou,na-adj. n.,impossible<br>impossibility,アイディアはすばらしいが、不可能だ。,"The idea is wonderful, but it’s impossible."
2103,襲う,osou,v.,"attack, hit; seize",昨夜女性が三人の男に襲われた。,A woman was attacked by three men last night.
2104,問,mon,n.,question number; counter for questions,テストで一問だけ間違えてしまった。,I got only one answer incorrect in the test.
2105,サイト,saito,n.,website,面白いサイトを見つけた。,I found an interesting site on the web.
2106,ボランティア,borantia,n.,volunteer,ボランティアの人たちが公園の掃除を手伝っ ている。,Volunteers are helping to clean up the park.
2107,問題点,mondai ten,n.,"problem, point at issue",この計画の問題点は費用だ。,The problem of this plan is the cost.
2108,一人一人,hitorihitori,n.,"one by one, each (people)",私は子供達一人一人に手紙を書いた。,I wrote a letter to each of my children.
2109,サイズ,saizu,n.,size,もっと大きいサイズがありますか。,Do you have a larger size?
2110,建設（する）,kensetsu(suru),n. v.,"construction<br>build, construct",新しい空港の建設は1999年に始まった。,The construction of the new airport started in 1999.
2111,線,sen,n.,line,紙に鉛筆で一本線を引いてください。,Draw a line on the paper with a pencil.
2112,子育て,kosodate,n.,"child rearing, bringing up one’s child",子育ては長くて大変な仕事だ。,"Child rearing is a long, hard job."
2113,（お）願い（する）,(o)negai(suru),"n., v.","wish, hope",ついに私の願いがかなった。,At last my wish came true.
2114,よろしい,yoroshii,i-adj.,"all right, good, may (I) (formal)",ひとつお願いしてもよろしいですか。,May I ask you a favor?
2115,二十分,"nijup-pun, nijip-pun",n.,twenty minutes,彼は二十分遅れて着いた。,He arrived twenty minutes late.
2116,モデル,moderu,n.,model,この携帯電話は最新モデルです。,This phone is the latest model.
2117,余計,yokei,na-adj.,"additional, extra",その本に余計にお金を払ってしまった。,I paid more than enough for the book.
2118,引き続く,hikitsuzuku,v.,continue; follow,今年も引き続きご支援をお願いいたします。,We would appreciate your continued support this year.
2119,移す,utsusu,v.,"move, transfer, shift",彼は事務所をパリからベルリンに移した。,He transferred his office from Paris to Berlin.
2120,募集（する）,boshuu(suru),n. v.,recruitment<br>recruit,ちょうど今、その会社が社員を募集している。,"Right now, the company is recruiting new staff."
2121,りんご,ringo,n.,apple,果物でりんごが一番好き。,I like apples best of all the fruits.
2122,まずい,mazui,i-adj.,not taste good; awkward,まずい！また遅刻だ。,Oh no! I’m late again.
2123,食料,shokuryou,n.,"food, provisions",私はキャンプのとき、たくさん食料を持って 行く。,I take a lot of food when I go camping.
2124,優勝（する）,yuushou(suru),n. v.,"championship, victory<br>win",彼女はスピーチコンテストで優勝した。,She won the speech contest.
2125,間,kan,n.,during; between,このバスは東京、大阪間を走っている。,This bus runs between Tokyo and Osaka.
2126,属する,zokusuru,v.,"belong to, be a member of",彼はサッカーチームに属している。,He plays in a soccer team.
2127,豊富,houfu,na-adj.,"rich, abundant",彼は経験が豊富だ。,He has a lot of experience.
2128,消費者,shouhi-sha,n.,consumer,我々は消費者のニーズに対応しなければなら ない。,We must meet the needs of consumers.
2129,喉,nodo,n.,throat; voice,喉が痛い。,I have a sore throat.
2130,布団,futon,n.,"futon, Japanese-style bedding",布団に寝るのは心地好い。,It is comfortable to sleep on a futon.
2131,十五分,juu go fun,n.,fifteen minutes,15分電車が遅れた。,The train was fifteen minutes late.
2132,宇宙,uchuu,n.,"universe, space",宇宙には何百万もの星がある。,There are millions of stars in the universe.
2133,同じく,onajiku,adv.,"likewise, like, as",彼も私と同じく疲れているはずだ。,I’m sure he is as tired as I am.
2134,資金,shikin,n.,funds,資金が足りなかったため、計画は失敗してしま った。,Owing to a shortage of funds our project failed.
2135,しかたない,shikatanai,i-adj.,"It can’t be helped, be beyond any help, I can’t help ...",この問題についてこれ以上考えてもしかたな い。,There is no point in dwelling on this matter any more.
2136,料金,ryoukin,n.,"charge, fee, fare",料金は着いてから払ってください。,Pay your fee when you get there.
2137,デパート,depaato,n.,department store,デパートに買い物に行った。,I went shopping at a department store.
2138,地図,chizu,n.,map,迷わないように地図を持って行って。,Take a map with you so that you don’t get lost.
2139,唇,kuchibiru,n.,lip,寒くて唇が青くなった。,It was so cold that my lips were turning blue.
2140,釣り,tsuri,n.,fishing,先週近くの川に釣りに行った。,I went fishing in a nearby river last week.
2141,十五日,juu go nichi,n.,fifteenth (date); fifteen days,両親は三月十五日まで日本にいた。,My parents stayed in Japan until March 15.
2142,駅前,ekimae,n.,in front of the station,昨日の晩は駅前のホテルに泊まった。,I stayed at a hotel in front of the station last night.
2143,つつある,tsutsu aru,cp.,"be in the process of doing, be doing",日本では子供の数が減りつつある。,"In Japan, the number of children is decreasing."
2144,ご覧,goran,n.,"looking, seeing (honorific)",結果はご覧の通りです。,"The results are like this, as you can see."
2145,大会,taikai,n.,"convention, mass meeting, tournament",彼女は昨年五つの大会で優勝した。,She won five tournaments last year.
2146,拾う,hirou,v.,"pick up, gather, pick out",駐車場で誰かの財布を拾った。,I found someone’s wallet in the car park.
2147,いざ,iza,adv.,"when one comes to, if compelled",いざというときのためにお金を貯めている。,I set aside some money just in case of an emergency.
2148,二番目,ni ban-me,n.,second,大阪は日本で二番目に大きい都市です。,Osaka is the second largest city in Japan.
2149,良さ,yo-sa,n.,"good point, good",このワインは味の良さで知られている。,This wine is known for its good taste.
2150,たって,tat-te,p.,even if,走ったって間に合わない。,"Even if you ran, you couldn’t make it."
2151,素材,sozai,n.,material,あなたの洋服の素材は何ですか。,What material are your clothes made of?
2152,設立（する）,setsuritsu(suru),n. v.,"establishment<br>establish, set up",彼は新しい会社を設立した。,He set up a new company.
2153,なので,na no de,conj.,"because, as",彼はまだ高校生なので、お酒を飲ませてはい けない。,"We should not let him drink alcohol, because he is still a high school student."
2154,絞る,shiboru,v.,squeeze,このレモンを絞ってください。,Please squeeze the juice from this lemon.
2155,ところで,tokoro de,conj.,"by the way, well",ところで、明日は何か予定がありますか。,"By the way, do you have any plans for tomorrow?"
2156,江戸,edo,n.,Edo,東京は昔、江戸と呼ばれていた。,Tokyo was called Edo in the past.
2157,下る,kudaru,v.,go down,彼は自転車で坂を下っていた。,He went down the hill on a bicycle.
2158,二十,nijuu,num.,twenty,この容器は20リットル入る。,This container can hold twenty liters.
2159,反映（する）,han’ei(suru),n. v.,reflection<br>reflect,世論はなかなか政治には反映されない。,It takes time for public opinions to be reflected in politics.
2160,天気,tenki,n.,weather,天気がよければ富士山が見える。,"If the weather is good, you can see Mt. Fuji."
2161,作家,sakka,n.,writer,彼女は有名な作家です。,She is a famous writer.
2162,減らす,herasu,v.,"reduce, cut down",予算が減らされた。,The budget has been cut.
2163,十五,juu go,n.,fifteen,この土地は15ヘクタールある。,This land is fifteen hectares.
2164,ゴルフ,gorufu,n.,golf,父の趣味はゴルフです。,My father’s hobby is playing golf.
2165,敷く,shiku,v.,"spread, lay",床にカーペットを敷いた。,I spread a carpet on the floor.
2166,合格（する）,goukaku(suru),n. v.,passing an exam<br>pass an exam,弟はその試験に合格した。,My brother passed the exam.
2167,日常,nichijou,"n., adv.","everyday, daily, usually",それが彼の日常の仕事だ。,That’s his daily work.
2168,毎回,maikai,n.,every time,雨が降ると毎回屋根が漏る。,The roof leaks every time it rains.
2169,影,kage,n.,shadow,木の影が地面に映っている。,The shadow of a tree falls on the ground.
2170,うるさい,urusai,i-adj.,noisy; annoying,"うるさいな, ほっといてよ。",Don’t bother me. Just leave me alone.
2171,法,hou,n.,law,法の下に人は平等だ。,All men are equal under the law.
2172,罪,tsumi,n.,crime; guilt,彼は罪を認めた。,He pleaded guilty.
2173,まるい,marui,i-adj.,"round, circular",子供達はまるくなって座った。,The children sat in a circle.
2174,団体,dantai,n.,"party, group, organization",彼らは団体で京都観光に行った。,They went on a group tour to Kyoto.
2175,詳細,shousai,n. na-adj.,details<br>detailed,彼はその出来事について詳細に説明した。,He explained in detail what was going on.
2176,洋服,youfuku,n.,"clothes, suit, dress",その洋服を着ると素敵に見えますよ。,You look great in the dress.
2177,承知（する）,shouchi(suru),n. v.,"agreement<br>agree, understand",承知しました。,I understand.
2178,多数,tasuu,n.,"many, a number of",その事故で多数の死者が出た。,Many people died in the accident.
2179,運営（する）,un’ei(suru),n. v.,"management<br>manage, run",そのイベントはうまく運営されている。,The event is well managed.
2180,生き方,iki-kata,n.,way of life,いろいろな生き方がある。,There are many ways of life.
2181,備える,sonaeru,v.,"get something ready, prepare",災害に備えて水や食料を買っておく。,I store water and food ready for a disaster.
2182,おしゃれ,oshare,na-adj.,"fashionable, smart",おしゃれなレストランで夕食を食べる。,We have dinner at a fashionable restaurant.
2183,住宅,juutaku,n.,"house, residence",住宅を購入するお金がない。,I don’t have enough money to buy a house.
2184,考慮（する）,kouryo(suru),n. v.,"thought<br>think over, consider",その点については十分考慮するつもりです。,I will give careful consideration to that point.
2185,働き,hataraki,n.,work,朝は頭の働きが良い。,My brain works well in the morning.
2186,踏む,fumu,v.,"step on, tread on",誰かに足を踏まれた。,Somebody stepped on my foot.
2187,ファイル,fairu,n.,file,そのファイルを取ってください。,Please pass me that file.
2188,有り,ari,"v., n.",exist; live,異議あり！,Objection!
2189,要因,youin,n.,"factor, main cause",その問題には複雑な要因がからんでいる。,There are some complicated factors involved in the problem.
2190,わし,washi,n.,I (used by old men),わしは若い頃漁師じゃった。,I was a fisherman when I was young.
2191,火,ka,n.,"fire; Tuesday, Tue.",毎週火、水、木は大学へ行く。,"I go to the university on Tuesday, Wednesday, and Thursday every week."
2192,偶然,guuzen,adv. n.,"by chance<br>chance, accident",偶然、駅で彼女と会った。,I met her by chance at the station.
2193,だって,dat-te,conj.,"because, but",「どうして食べないの」 「だって、ダイエット中 なんだもん」,“Why don’t you eat it?” “Because I’m on a diet.”
2194,不満,fuman,n. na-adj.,"dissatisfaction, discontent<br>discontented",彼女は不満ばかり言う。,She always complains.
2195,クラブ,kurabu,n.,club,学校で何のクラブに入ろうか考えている。,I’m thinking about which club I should join at school.
2196,懐かしい,natsukashii,i-adj.,nostalgic,故郷が懐かしい。,I feel nostalgic about my home town.
2197,ページ,peeji,n.,page,教科書の五ページを開けてください。,Open your textbook at page five.
2198,止む,yamu,v.,stop,雨が止んだ。,It has stopped raining.
2199,外れる,hazureru,v.,"be off, get out of place, be dislocated",笑いすぎてあごが外れた。,I laughed too much and dislocated my jaw.
2200,経済的,keizai-teki,na-adj.,economical; economic; financial,日本はその国に経済的な援助を行っている。,Japan gives the country financial support.
2201,机,tsukue,n.,desk,机に向かって仕事をしなければならない。,I have to sit at the desk and work.
2202,使い方,tsukai-kata,n.,how to use,新しい携帯電話の使い方がわからない。,I don’t know how to use my new cell phone.
2203,ハワイ,hawai,n.,Hawaii,休みはハワイに行く。,I will go to Hawaii for the holiday.
2204,予算,yosan,n.,"estimate, budget",予算の規模を縮小しなければならない。,We have to squeeze the budget.
2205,真面目,majime,na-adj.,serious; steady; honest,彼は真面目な人だ。,He is a serious person.
2206,勇気,yuuki,n.,"courage, bravery",彼女は勇気がある。,She is brave.
2207,皿,sara,n.,"plate, dish",この料理を皿に盛りつけてください。,Please put this food on the plate.
2208,ありがたい,arigatai,i-adj.,"kind, welcome",ありがたいことに雨が止んだ。,Luckily the rain has stopped.
2209,視点,shiten,n.,viewpoint,別の視点から考えてみましょう。,Let’s think about it from another point of view.
2210,素直,sunao,na-adj.,"obedient, tame",彼女はとても素直です。,She is very obedient.
2211,表面,hyoumen,n.,"surface, outside, appearance",この紙の表面はざらざらしている。,The surface of this paper is rough.
2212,コピー（する）,kopii(suru),"n., v.",copy,この書類をコピーしてください。,Please copy this document.
2213,削る,kezuru,v.,"save; sharpen, plane",鉛筆を削ってください。,Please sharpen a pencil for me.
2214,部活,bukatsu,n.,club,放課後は部活があるので、息子はいつも五時 ごろ帰ってきます。,"My son usually comes home around 5 p.m., because he participates in club activities after school."
2215,サラリーマン,sarariiman,n.,"salaried worker, office worker",父はサラリーマンです。,My father is an office worker.
2216,制限（する）,seigen(suru),n. v.,"restriction<br>limit, restrict",その国との貿易は制限されている。,Trade with the country is restricted.
2217,実験（する）,jikken(suru),n. v.,experimentation<br>experiment,彼らは実験室で実験している。,They are doing an experiment in the lab.
2218,ニューヨーク,nyuuyooku,n.,New York,田中さんはニューヨークへ出張しています。,Mr. Tanaka is in New York on business.
2219,確かめる,tashikameru,v.,"confirm, make sure",ドアに鍵をかけたか確かめましたか。,Did you make sure you locked the door?
2220,東,higashi,n.,east,太陽は東から昇る。,The sun rises in the east.
2221,主人公,shujin-kou,n.,"hero, heroine",この映画の主人公は誰ですか。,Who is the heroine of this film?
2222,もっとも,mottomo,conj.,"though, although",もっとも彼の言うことは正しいが、私は賛成で きない。,"Though what he said is right, I can’t agree."
2223,アメリカ人,amerika-jin,n.,American (person),彼はアメリカ人です。,He is an American.
2224,テスト（する）,tesuto(suru),n. v.,test<br>test,数学のテストを受けた。,I took a math test.
2225,高校時代,koukou jidai,n.,high school days,高校時代はとても楽しかった。,My high school days were very happy.
2226,満足（する）,manzoku(suru),n. v.,satisfaction<br>be satisfied,私は今の生活に満足している。,I’m satisfied with my life now.
2227,愛情,aijou,n.,"love, affection",愛情をこめて料理を作る。,I cook with love.
2228,微妙,bimyou,na-adj.,"delicate, subtle",それは微妙な問題だ。,That is a delicate issue.
2229,生み出す,umidasu,v.,"create, invent",そのアーティストはここで多くの作品を生みだ した。,The artist created a lot of works here.
2230,ビル,biru,n.,building,ここに新しいビルが建設される。,A new building will be built here.
2231,あらかじめ,arakajime,adv.,"beforehand, in advance",そのイベントに参加する場合は、あらかじめ私 に知らせてください。,Please let me know in advance if you participate in the event.
2232,財産,zaisan,n.,property; fortune,彼女の財産はどのくらいあるんだろう。,What is the value of her fortune?
2233,証拠,shouko,n.,evidence,証拠が明らかなので、彼は有罪になるだろう。,"The evidence is clear, so he will be found guilty."
2234,我,ware,pron.,I; oneself,金もうけに我を忘れてしまった。,I got carried away with making money.
2235,訓練（する）,kunren(suru),n. v.,training<br>train,その犬はよく訓練されている。,The dog is well trained.
2236,区別（する）,kubetsu(suru),n. v.,distinction<br>distinguish,この偽物は本物と区別がつかない。,I can’t distinguish this fake from the real thing.
2237,四日,yok-ka,n.,fourth (date); four days,あと四日しかない。,We have only four days left.
2238,サークル,saakuru,n.,"circle, club",私はテニスのサークルに入りたい。,I want to join a tennis club.
2239,皆様,mina-sama,n.,everybody,皆様、お早うございます。,"Good morning, everybody."
2240,光景,koukei,n.,"sight, spectacle",それは不思議な光景だった。,It was a strange sight.
2241,パターン,pataan,n.,pattern,彼の小説のストーリーはいつも同じパターン の繰り返しだ。,The stories of his novels all follow the same pattern.
2242,シーン,shiin,n.,scene,映画のこのシーンが好きです。,I like this scene in the film.
2243,新鮮,shinsen,na-adj.,fresh,この魚は新鮮ですか。,Is this fish fresh?
2244,恵まれる,megumareru,v.,be blessed,恵まれない子供達のために寄付した。,I made a donation for unfortunate children.
2245,煮る,niru,v.,"boil, cook",水を加えて十分ぐらい煮てください。,"Add some water, and cook for ten minutes."
2246,旨,mune,n.,effect; principle,学校はその生徒に退学になる旨を警告した。,The school warned the student that he would be expelled.
2247,反省（する）,hansei(suru),n. v.,"soul-searching, reflection<br>reflect on",前回の反省を生かして作業する。,He works making the best use of reflections on previous issues.
2248,放送（する）,housou(suru),n. v.,"broadcasting, telecasting<br>broadcast",ドラマの再放送を見る。,I watch a repeat broadcast of the TV drama.
2249,人間関係,ningen kankei,n.,interpersonal relationship,いい人間関係を作るには信頼が大切だ。,Trust is vital in order to establish a good relationship.
2250,ボタン,botan,n.,button,シャツからボタンがとれた。,A button came off the shirt.
2251,少女,shoujo,n.,girl,あのピアノを弾いている少女はまだ八歳だ。,The girl who’s playing the piano is only eight.
2252,命ずる,meizuru,v.,order,自衛隊の出動を命じた。,He ordered the dispatch of the Self-Defense Force.
2253,自己,jiko,n.,"oneself, self",自己を肯定することは大切だ。,It’s important to hold a positive view of yourself.
2254,ロンドン,rondon,n.,London,来月、ロンドンに留学する。,"From next month, I’ll be studying in London."
2255,端,hashi,n.,"end, tip, edge",きれの両端を持って伸ばす。,"I stretch the cloth, holding the ends."
2256,加わる,kuwawaru,v.,"increase, add; join",クラスに新しい生徒が加わる。,A new member is joining our class.
2257,規模,kibo,n.,scale,会社の規模を拡大する。,He expanded the scale of the company.
2258,悩み,nayami,n.,"trouble, worry",悩みを友人に相談する。,I’ll speak to my friend about my worries.
2259,鳴る,naru,v.,sound; ring,誰かの携帯電話が鳴っている。,Someone’s cell phone is ringing.
2260,運,un,n.,"luck, fortune",彼女は運がいい。,She is lucky.
2261,ルール,ruuru,n.,rule,クラブのルールをみんなで決める。,The rules of the club are made by all the members.
2262,妙,myou,na-adj.,"strange, curious",妙なうわさを耳にした。,I heard a strange rumor.
2263,告げる,tsugeru,v.,"tell, announce",医者は彼 女の病気について家族に告げた。,The doctor told her family about her illness.
2264,恋,koi,n.,love (romantic),彼女は今恋をしている。,She’s in love with someone now.
2265,現象,genshou,n.,"phenomenon, happening; phase",小さな現象だが、丁寧に観察することが大事 だ。,"Although this is a minor phenomenon, it requires careful observation."
2266,ベース,beesu,n.,"base, basis",このスープのベースとなるのは、しょうゆだ。,Soy sauce forms the base for this soup.
2267,ネット,netto,n.,net,ネットで友達とチャットする。,My friend and I chat online.
2268,許可（する）,kyoka(suru),n. v.,"permission, leave<br>permit, authorize",車を止めるには、許可が必要だ。,You need permission to park your car there.
2269,商売,shoubai,n.,business,新しい商売を始める準備をする。,We’ve been preparing for a new business.
2270,積む,tsumu,v.,"pile up, heap up; acquire, accumulate",失敗しても経験を積むことは大切だ。,It is important to gain some experience even if you fail.
2271,文句,monku,n.,words; complaint,彼は一言も文句を言わない。,He never makes any complaints.
2272,発想,hassou,n.,"idea, conception",柔軟な発想が求められる。,Flexible ideas are needed.
2273,見なす,minasu,v.,"be considered, look upon",入金した日を契約初日とみなします。,The day on which the payment is made is considered to be the first day of the contract.
2274,親戚,shinseki,n.,relative,お正月に親戚が集まる。,Our relatives will gather together for New Year.
2275,大幅,oohaba,na-adj.,"steep, big, sharp",経営について大幅な見直しをする。,They will carry out a major review of management.
2276,アドバイス,adobaisu,n.,advice,周りからのアドバイスを参考にする。,I take everyone’s advice into account.
2277,ダイエット（する）,daietto(suru),n. v.,diet<br>go on a diet,今年こそダイエットをする。,I’ll go on a diet this year.
2278,生命,seimei,n.,life,彼女は今、生命の危機にさらされている。,Her life is in danger now.
2279,中央,chuuou,n.,center adj. central,あの公園の中央に像がある。,There is a statue in the center of that park.
2280,発行（する）,hakkou(suru),n. v.,"publication, issue<br>publish, issue",新しい問題集が出版社から発行される。,A new issue of the exam practice book will come out.
2281,ほめる,homeru,v.,"praise, speak well, commend",あの人はいつも周りの人をほめる。,She always speaks well of others.
2282,カナダ,kanada,n.,Canada,カナダへ語学留学へ行く。,I’ll be travelling to Canada to study English.
2283,請求（する）,seikyuu(suru),n. v.,"demand, request, charge<br>demand, claim",代金を請求する。,A request for payment has been made.
2284,企画（する）,kikaku(suru),n. v.,planning<br>plan,彼らは、新入社員を歓迎する企画を準備して いる。,They are planning a welcome event for new recruits.
2285,話し合う,hanashiau,v.,"talk, discuss",大切なことはみんなで話し合おう。,Let’s discuss important issues with everyone.
2286,注ぐ,sosogu,v.,flow into; water; pour,ビールをコップに注ぐ。,He’s pouring beer into a glass.
2287,増す,masu,v.,increase,緊張が増していく。,Tension has been increasing.
2288,浴びる,abiru,v.,bathe; pour,シャワーを浴びるね。,I’ll take a shower.
2289,縁,en,n.,"chance, fate, destiny",私はお金に縁がない。,I am hopeless when it comes to making money.
2290,吐く,haku,v.,"exhale, breathe out; vomit; spit",気持ち悪くて、トイレで吐いた。,I was sick and threw up in the toilet.
2291,渋谷,shibuya,n.,Shibuya (place name),渋谷で友達とよく買い物をする。,I often go shopping with friends in Shibuya.
2292,間違える,machigaeru,v.,make a mistake,いつも同じ漢字を間違える。,I always make the same kanji mistakes.
2293,セット,setto,n.,set,ハンバーガーセットを注文する。,We ordered a hamburger set meal.
2294,てはならない,te wa nara nai,cp.,"must not, should not",お酒を飲んだら、車を運転してはならない。,You should not drive when you drink.
2295,明かり,akari,n.,light,明かりをつける。,I turn the light on.
2296,玉ねぎ,tamanegi,n.,onion,玉ねぎを切ってフライパンで炒めてください。,Chop an onion and fry it in a frying pan.
2297,しかない,shika nai,cp.,"can’t but, can only, have no choice",今やるしかない。,We must do it now.
2298,合計（する）,goukei(suru),n. v.,sum total<br>total,彼の部屋には合計百冊以上の本がある。,He has a total of over a hundred books in his room.
2299,良し,yoshi,i-adj.,"good, OK",よし，これでおしまい。,"OK, that’s it."
2300,二本,ni hon,n.,two (long/cylindrical objects),ビールを二本飲む。,I drink two bottles of beer.
2301,御,o,prefix,POLITENESS,お食事はいかがですか。,Would you like something to eat?
2302,貴重,kichou,na-adj.,"precious, valuable",貴重な経験を積む。,I will gain valuable experience.
2303,引っ張る,hipparu,v.,pull,このチームを引っ張るためには強いリーダー シップが必要だ。,He needs a strong character to lead the team.
2304,城,shiro,n.,castle,この城は江戸時代に築かれた。,This castle was built in the Edo period.
2305,対処（する）,taisho(suru),n. v.,"handling, coping<br>deal with",緊急時の対処法について学ぶ。,We learn how to deal with emergencies.
2306,覆う,oou,v.,cover,仮面で顔を覆って変装する。,I cover my face with a mask to disguise myself.
2307,教授,kyouju,n.,professor,教授の書いた論文を読んでいる。,I’m reading the article written by the professor.
2308,橋,hashi,n.,bridge,橋の上で花火を見た。,We watched the fireworks from the bridge.
2309,巨大,kyodai,na-adj.,"huge, enormous, gigantic",巨大なプロジェクトを任される。,He is assigned a huge project.
2310,あちらこちら,achirakochira,pron.,here and there,いなくなった愛犬を、あちらこちら探し回った。,I searched everywhere for my missing dog.
2311,苦手,nigate,na-adj.,"not good at, weak point",私は英語が苦手です。,I’m not good at English.
2312,スタイル,sutairu,n.,"style, body, figure",彼女はスタイルがいい。,She has a great body.
2313,テント,tento,n.,tent,テントを川のそばに張った。,We put up a tent near the river.
2314,ユダヤ人,yudaya-jin,n.,Jew,ユダヤ人の友達を訪ねる。,I visit my Jewish friend.
2315,主,nushi,n.,"head, master",この家の主は今出かけています。,The owner of the house has been away.
2316,意志,ishi,n.,"will, willpower",彼は強い意志を持っている。,He has a strong will.
2317,容易,youi,na-adj.,easy,あの人を説得するのは容易ではない。,It’s not easy to persuade him.
2318,しばしば,shibashiba,adv.,"always, often",祖母は記憶をなくすことがしばしばある。,My grandmother very often loses her memory.
2319,のんびり,nonbiri,adv.,"tranquil, leisurely, easygoing",のんびり休日を過ごした。,I spent my holiday in a leisurely way.
2320,話しかける,hanashikakeru,v.,speak to,迷子になっている子に、店員がやさしく話しか けた。,A shop assistant spoke gently to the child who was lost.
2321,揃える,soroeru,v.,"arrange, prepare",生活必需品をそろえる。,We provide daily necessities.
2322,毎月,maitsuki,n.,every month,毎月家賃を支払う。,I pay the rent every month.
2323,礼,rei,n.,bow; courtesy,学生たちは先生に礼をした。,Students bowed to their teacher.
2324,つぶやく,tsubuyaku,v.,"mutter, murmur",彼は小さな声でつぶやいた。,He muttered in a low voice.
