Rank,Word,Part of Speech,English Translation,Phrase,English Phrase,Frequency
2688,revêtir,v,"to take on, assume",on revêt les nouvelles lunettes de soleil,you put on the new sunglasses,76
2689,accessoire,nm,accessory,on ne vend ni ski ni accessoire,we don’t sell skis or accessories,90
2690,acquisition,nf,"acquisition, acquire, purchase",nous ne souhaitons ni fusion ni acquisition,we don’t want a merger or an acquisition,77
2691,tournée,nf,"tour, round",c’est la dernière tournée. le bar va fermer,that’s the last round. the bar’s going to close,65
2692,tranche,nf,"slice, edge, section, bracket, slot",il tient une tranche serrée dans sa main,he’s holding a slice tightly in his hand,79
2693,plage,nf,beach,il marchait pieds nus sur la plage,he walked barefoot along the beach,75
2694,inspecteur,nm,inspector,tu seras un excellent inspecteur,you will be an excellent inspector,64
2695,tempête,nf,"storm, gale, turmoil","la tempête se calme, j’ai l’impression","the storm is dying down, I think",78
2696,tissu,nadj,"fabric, material, cloth, tissue, woven",j’ai fait des dessins sur le tissu de vieux rideaux,I made drawings on the cloth from old curtains,77
2697,souverain,nadj,"sovereign, supreme ruler, monarch",ce sera le 66e séjour du souverain pontife à l’étranger,this will be the 66th stay abroad for the sovereign pontiff,72
2698,distinct,adj,distinct,Henri et moi nous étions deux êtres distincts,Henri and I were two separate beings,70
2699,survie,nf,survival,je peux calculer vos chances de survie,I can calculate your chances for survival,77
2700,repousser,v,"to push away, postpone","elle m’a repoussée, elle s’est jetée sur l’herbe","she pushed me away, she threw herself on the lawn",72
2701,adaptation,nf,adaptation,je fais surtout des adaptations d’auteurs étrangers,I mostly do adaptations based on foreign authors,72
2702,plante,nf,plant,tu es une belle plante. tu es la fleur de ma passion,you’re a beautiful plant—the flower of my passion.,77
2703,nuire,v,to harm,ils nuisent à la santé,they are harmful to one’s health,79
2704,putain,nf,"whore, bitch; stupid",putain mais qu’est-ce que tu fais?,"what’re you doin’, stupid?",45
2705,imagination,nf,imagination,mon imagination folle m’a trompée,my foolish imagination deceived me,70
2706,accusé,nadj,defendant,l’accusé devra remettre son passeport,the accused must surrender his passport,57
2707,repérer,v,"to spot, pick out, locate, find","ils ont repéré le tireur, vers le sud","they located the sniper, towards the south",75
2708,directive,nf,guideline,tout est prêt. j’attends vos directives,everything’s ready. I await your orders,55
2709,rural,nadj,rural,les régions rurales constituent un genre de refuge,rural regions are a kind of refuge,60
2710,persister,v,"to persist, keep up, linger",vous persistez à vouloir faire votre devoir?,do you still want to do your duty?,79
2711,coalition,nf,coalition,un soldat de la coalition a été blessé dans l’opération,a coalition soldier was injured during the operation,60
2712,diplomatique,nadj(f),diplomatic,nous préférons une solution diplomatique,we prefer a diplomatic solution,58
2713,excellence,nf,excellence,celle-ci sera un centre d’excellence,this one will be a center of excellence,82
2714,apparence,nf,appearance,les apparences sont trompeuses,appearances are deceiving,66
2715,oriental,nadj,Oriental,il portait de somptueux vêtements orientaux,he wore sumptuous Oriental clothing,68
2716,écriture,nf,writing,"l’écriture, c’est un besoin pour moi",writing is a need that I have,61
2717,parcours,nm(pl),"journey, course, route",je suis en bout de parcours,I’m at the end of a journey,67
2718,républicain,nadj,republican,vous votez démocrate ou républicain?,are you voting Democrat or Republican?,60
2719,embarquer,v,"to embark, board, take on board, load",les hommes chantaient en embarquant sur les navires anglais,the men sang while boarding the English ships,80
2720,révolte,nf,revolt,ma raison d’écrire naît de la révolte,my reason for writing began in the rebellion,59
2721,intéressé,nadj,"concerned, involved",je ne m’étais jamais vraiment intéressé à la question,I wasn’t ever really interested in the question,73
2722,formidable,adj(f),"tremendous, considerable",j’ai fait quelques rencontres formidables,I had some tremendous meetings,71
2723,tas,nm(pl),"pile, lots of",ça explique des tas de choses,that explains lots of things,64
2724,déjeuner,"nm, v",lunch; to have lunch,nous achevons de déjeuner à la française,we have just finished eating a French lunch,64
2725,disputer,v,to dispute,nous avons tort de nous disputer ainsi,it’s wrong for us to quarrel like this,56
2726,élite,nf,elite,l’élite se définissait selon lui par l’intelligence,"according to him, the elite are defined by intelligence",72
2727,malheur,nm,misfortune,je n’aime pas profiter du malheur des autres,I don’t like to profit from the misery of others,60
2728,aube,nf,"dawn, daybreak","il était parti avant l’aube, comme un fuyard","he left before dawn, like a runaway",74
2729,salon,nm,"lounge, living room",nous étions assis dans le grand salon,we were sitting in the large living room,65
2730,infliger,v,to inflict,désolée de devoir vous infliger ça maintenant,sorry to have to inflict this upon you now,78
2731,repos,nm(pl),rest,ça faisait trois heures de repos,the rest was three hours long,66
2732,déranger,v,"to disturb, bother",ça vous dérange si je m’assieds?,will it bother you if I sit down?,66
2733,inhabituel,adj,unusual,nous nous trouvons dans une situation inhabituelle,we find ourselves in an unusual situation,89
2734,interdiction,nf,"ban, banning",cette interdiction s’applique aux télévisions,this ban applies to televisions,68
2735,consentir,v,"to consent, agree",les syndicats ont consenti une réduction des salaires,the unions agreed to a salary reduction,66
2736,variable,nadj(f),variable,"c’est très variable, ça dépend","it’s quite variable, it depends",67
2737,médecine,nf,"medecine, medical science",deux étudiants en médecine suédois m’écrivaient,two Swedish medical students wrote me,69
2738,contradictoire,adj(f),"contradictory, conflicting",la colonisation française fut un processus contradictoire,French colonization was a contradictory process,80
2739,exclusivement,adv,"exclusively, solely",ils avaient des ventes exclusivement au Japon,they had sales exclusively in Japan,78
2740,cible,nf,target,les cibles des terroristes représentaient les symboles du capitalisme,terrorist targets represented the symbols of capitalism,66
2741,détenu,nadj,prisoner,le pourcentage de détenus séropositifs est très élevé,the percentage of HIV-positive detainees is very high,69
2742,volontiers,adv,"with pleasure, willingly, gladly",je serais volontiers mort dans cette maison,I would gladly die in this house,72
2743,fauteuil,nm,"armchair, seat",j’étais assis dans ce fauteuil,I was sitting in this armchair,68
2744,couloir,nm,"corridor, aisle",j’emprunte le couloir,I’m taking the hallway,68
2745,enthousiasme,nm,"enthusiasm, enthusiastically",l’enthousiasme fit place à une méfiance extrême,enthusiasm gave way to extreme distrust,76
2746,télé,nf,TV,"on n’avait pas de télé, de CD, de DVD","we had no TV, no CD player, no DVD player",56
2747,éthique,nadj(f),"ethical, ethics",le clonage représente évidemment plusieurs problèmes éthiques,cloning obviously poses several ethical problems,64
2748,révision,nf,"review, revision, overhaul",il y aura une révision périodique du régime,there will be periodic regime change,71
2749,pointer,"nm, v","to mark off, clock in, clock out, aim",pourquoi cette femme pointe-t-elle une arme sur toi?,why is that woman aiming a gun at you?,81
2750,assassiner,v,"to murder, assassinate",il mourut assassiné,he was assassinated,72
2751,optimiste,nadj(f),optimistic,êtes-vous optimiste quant à l’avenir des jeunes?,are you optimistic about the future of the youth?,74
2752,instaurer,v,"to institute, introduce",notre nouveau directeur a instauré un programme pour travailler en équipe,our new director started a teamwork program,74
2753,isolé,nadj,"remote, isolated, insolated","dans quelques semaines, on sera isolés par la glace","in a few weeks, we will be isolated by the ice",78
2754,revendiquer,v,to claim,l’attentat n’a pas été revendiqué,no responsibility has been claimed for the attack,66
2755,secouer,v,to shake,elle secoue mes couvertures dans tous les sens,she shakes out my bedding in every direction,68
2756,bizarre,nadj(f),"strange, odd",les effets de la maladie sont bizarres,the effects of the sickness are bizarre,64
2757,abus,nm(pl),"abuse, misuse, breach",il y a eu des abus sexuels,there was sexual abuse,75
2758,procédé,nm,processus,c’est un procédé continuel chez moi,it’s an ongoing process with me,75
2759,pêcheur,nadj,fisherman,les pêcheurs sont les hommes de la liberté,fishermen are men of freedom,64
2760,amateur,"nm, nf",amateur,j’ai eu des parents amateurs de théâtre,I have parents who love the theater,79
2761,regret,nm,"regret, regretfully","aux vacances, nous nous séparions sans regret","on vacation, we separated without regrets",72
2762,accroissement,nm,increase,nous sommes tous atterrés par l’accroissement du chômage,we’re all crushed by the growth in unemployment,67
2763,trimestre,nm,quarter; three months,les perspectives sont bonnes pour le troisième trimestre,the outlook is good for the third quarter,52
2764,onde,nf,wave,c’est comme une onde de choc,it’s like a shock wave,54
2765,spatial,adj,"spatial, space",la Station spatiale internationale n’a aucun rôle militaire,the International Space Station has no military role,67
2766,brut,"adv, nadj","raw, crude",la surface totale brute de ce bâtiment est de 215.000 m<sup>2</sup>,"the total unfinished area of this building is 215,000 square meters",62
2767,éventuellement,adv,possibly,des sanctions seront éventuellement prises,sanctions will eventually be taken,69
2768,vache,"adj(f), nf",cow,dans d’immenses champs des vaches mâchaient,cows munched in immense fields,73
2769,gris,nadj(pl),grey,c’était une poule grise,it was a grey hen,59
2770,aise,nadj(f),"comfort, joy, pleasure, ease",je suis mal à l’aise dehors,I am uneasy in the outdoors,75
2771,agression,nf,agression,les agressions contre les femmes ont augmenté,aggression against women has increased,69
2772,loisir,nm,leisure,je dresse des chevaux dans mes loisirs,I groom horses in my leisure time,79
2773,chaleur,nf,heat,le soleil et la chaleur devenaient en outre excessifs,the sun and the heat were becoming intense,62
2774,ranger,"nm, v","to tidy up, put away",il range les deux tasses de café dans l’évier,he places the two coffee mugs into the sink,69
2775,partage,nm,"division, cutting, sharing",la frontière régie jusqu’au partage de l’ombre et de la lumière,the border extends to where the shadows and the light divide,76
2776,étoile,nf,star,nous couchions à la belle étoile,we slept under the stars,71
2777,mystère,nm,mystery,il y a des mystères que je ne peux résoudre,there are mysteries that I can’t resolve,66
2778,quasi,"adv, nm","almost, nearly",on entretient un lien quasi mystique avec son pays natal,we maintain an almost mystical connection with our native country,76
2779,description,nf,description,nous commençons par une brève description de mon père,we start with a brief description of my father,63
2780,serbe,nadj(f),Serbian,un vieil homme serbe a été tué par balle,an old Serbian man was shot dead,51
2781,biologique,adj(f),"biological, nature",les études sur les effets biologiques des radiations sont restées rares,studies on biological effects of radiation have been rare,69
2782,universitaire,nadj(f),"university, academic",j’étais occupée à des travaux de recherches universitaires,I was busy doing university research work,67
2783,emparer,v,"to seize, grab, snatch",il n’était pas possible de s’emparer de la clef,it wasn’t possible to grab the key,75
2784,dent,nf,tooth,elle repart en grinçant des dents,she walks away gnashing her teeth,64
2785,neutre,adj(f),neutral,mais mon travail n’est pas neutre et objectif,but my work isn’t neutral and objective,81
2786,aîné,nadj,oldest,mon fils aîné a onze ans,my oldest son is eleven years old,70
2787,trahir,v,"to betray, give away","personne ne te trahit, personne ne t’humilie","nobody is betraying you, nobody is humiliating you",68
2788,intelligence,nf,intelligence,je n’insulterai pas votre intelligence,I won’t insult your intelligence,66
2789,admirer,v,to admire,j’admire ce que vous faites,I admire what you do,66
2790,licence,nf,"licence, permit",il pourra imposer des conditions de licence particulières,he can impose individual conditions on licenses,60
2791,rigueur,nf,"harshness, severity, rigidness, rigor strictness",l’optimisme est en revanche de rigueur dans les assurances,on the other hand optimism is mandatory in insurance dealings,73
2792,maternel,adj,"motherly, maternal","ils s’écrivaient en yiddish, leur langue maternelle","they wrote to each other in Yiddish, their first language",80
2793,métal,nm,metal,ils ont été équipés de détecteurs de métaux,they were equipped with metal detectors,74
2794,palais,nm(pl),"palace, palate",la Garde du palais n’est guère efficace,the palace guard is no longer efficient,63
2795,belge,nadj(f),Belgian,nous voudrions féliciter la présidence belge pour l’initiative,we would like to congratulate the Belgian presidency for the initiative,59
2796,brutal,nadj,brutal,"je trouve leur méthode de revendication brutale, injuste","I find their reclamation method brutal, injust",76
2797,extraire,v,"to extract, mine, quarry, pull out, remove",l’ingénieur a extrait l’expertise empirique des pilotes,the engineer extracted empirical expertise from the pilots,76
2798,signification,nf,significance,cette appellation a une signification politique très claire,this trade name has a very clear political significance,69
2799,filer,v,"to spin, run, get out",terminons le reportage et filons d’ici,let’s stop our reporting and get out of here,61
2800,automatique,adj(f),automatic,la perte de mémoire est presque automatique,loss of memory is almost automatic,55
2801,accrocher,v,"to hang up, hang on, put up",les manifestants ont accroché une pancarte,the demonstrators put up a poster,70
2802,pain,nm,bread,ça grille le pain pendant qu’on le tranche,it toasts the bread while it’s being sliced,68
2803,plateau,nm,"plateau, tray, set, stage",il repose la bouteille vide sur le plateau,he sets the empty bottle on the tray,72
2804,répétition,nf,"repetition, rehearsal",on recommence les répétitions ce soir,tonight we resume the rehearsals,69
2805,diminution,nf,"reduction, decreasing","les stocks de poissons sont en diminution, voire en disparition","fishery resources are declining, even disappearing",65
2806,collection,nf,"collection, series",j’ai une collection des lettres inédites de Freud,I have a collection of Freud’s unpublished letters,70
2807,gène,nm,gene,"ils collent des gènes ensemble, je crois","they splice genes, I think",44
2808,permanence,nf,"permanence, duty, service",les deux pieds doivent rester en permanence dans le triangle,both feet must remain in the triangle,76
2809,reine,nf,queen,il a appartenu à une reine … la reine de Perse,it belonged to a queen … the queen of Persia,67
2810,privatisation,nf,privatization,la privatisation des entreprises du Kosovo a enfin commencé,the privatization of companies in Kosovo has finally begun,61
2811,correspondance,nf,"correspondance, connection","il avait brûlé un tas de correspondances, de carnets de notes","he burned a pile of letters, notebooks",78
2812,planter,v,"to plant, pitch",vous achèterez vos bulbes d’oignons à planter,you’ll buy the onion bulbs to be planted,68
2813,strictement,adv,strictly,nous ne sommes pas strictement obligés,we aren’t strictly obligated,77
2814,violation,nf,"violation, transgression",cela constitue une violation de sa probation,that constitutes a violation of his probation,67
2815,compensation,nf,"compensation, clearing",nous avons offert une compensation aux provinces qui ont perdu de l’argent,we offered compensation to the provinces that lost money,76
2816,lycée,nm,high school,il est professeur de philosophie au lycée,he’s a high school philosophy teacher,71
2817,con,nadj,stupid,"on va le finir, ce con",we’re gonna take out that a**hole,57
2818,combinaison,nf,combination,il était le seul à avoir la combinaison et tu l’as tué,"he alone knew the combination, and you killed him",58
2819,injustice,nf,"injustice, unfairness","l’inégalité nourrit l’injustice, le soupçon et les préjugés","inequality feeds injustice, suspicion, and prejudice",75
2820,reportage,nm,"report, reporting","selon le reportage, son intervention aurait été annulée",according to the report his talk was canceled,71
2821,déception,nf,"disappointment, let-down",la déception pourrait n’être que temporaire,the disappointment could only be temporary,80
2822,soucier,v,"to care about, show concern for",tu n’as pas à te soucier de tes manières ici,no need to worry about your manners here,79
2823,plafond,nm,"ceiling, roof, maximum",il y a des caméras dans le plafond,there are cameras in the ceiling,73
2824,opérateur,nm,operator,nous ne pouvions même pas appeler une opératrice,we couldn’t even call an operator,59
2825,camarade,"nm, nf","friend, comrade, pal, mate",je me hâtai de revoir mes camarades,I hurried back to see my comrades,71
2826,traduction,nf,translation,"alors, lis la traduction","so, read the translation",63
2827,compréhension,nf,"understanding, comprehension",je vous suis reconnaissant de votre compréhension,I thank you for your understanding,71
2828,réglementation,nf,regulation,ces réglementations échappent au contrôle des parlementaires,these regulations will escape parliamentary control,62
2829,déplorer,v,to deplore,il déplore la montée des superstitions,he deplores the upswing in superstition,71
2830,mobiliser,v,"to mobilize, call up",il espère mobiliser le peuple,he hopes to mobilize the people,67
2831,encadrer,v,"to frame, train",les élèves seront encadrés par environ 850.000 enseignants,"the students will be trained by some 850,000 teachers",76
2832,gentil,nadj,"nice, kind",elles sont extrêmement gentilles,they are extremely nice,58
2833,folie,nf,"madness, folly, insanity",certains jeunes tombent dans la folie,some youth lapse into folly,67
2834,terrorisme,nm,terrorism,les Américains ont déclaré la guerre au terrorisme,the Americans declared war on terrorism,57
2835,illusion,nf,illusion,ne nous faisons pas d’illusions,we aren’t deceiving ourselves,70
2836,portefeuille,nm,wallet,il m’a pris mon portefeuille!,he took my wallet!,76
2837,séduire,v,"to seduce, charm, captivate, appeal to",j’ai été séduite par votre jeunesse,I was seduced by your youth,76
2838,précipiter,v,"to quicken, hasten, precipitate",je jetai mon parapluie et me précipitai hors de la chambre,I tossed my umbrella and dashed out of the room,73
2839,clôture,nf,"enclosure; termination, closure",la clôture est trop haute,the fence is too high,68
2840,piloter,v,"to fly, pilot, drive",et qui pilotera l’avion?,and who will fly the airplane?,76
2841,agréable,nadj(f),"pleasant, nice, agreeable",c’est une chambre très agréable,it’s a very comfortable bedroom,72
2842,télécommunication,nf,telecommunication,le secteur des télécommunications a connu la plus forte hausse,the telecommunications sector experienced the greatest growth,56
2843,désaccord,nm,"disagreement, discord, conflict",ces désaccords constituent une tension bénéfique,these disagreements create beneficial tension,78
2844,uranium,nm,uranium,la séparation du plutonium de l’uranium est relativement facile,separating plutonium from uranium is relatively easy,61
2845,aliment,nm,food,je cultive des aliments pour nourrir les gens,I cultivate food to nourish people,58
2846,alimentation,nf,"diet, food, groceries, supply",l’alimentation et la santé sont étroitement reliées,diet and health are intertwined,68
2847,pomme,nf,apple,elle croqua la pomme avec un bruit qu’il détesta,she crunched into the apple with a noise that he detested,79
2848,ingénieur,"nm, nf",engineer,son père était un ingénieur des chemins de fer,her father was an railroad engineer,71
2849,vider,v,"to empty, vacate","que personne ne bouge! toi, vide ce coffre","nobody move! you, empty this safe",68
2850,attentif,adj,"attentive, scrupulous, careful","sois attentif, sois intelligent, sois rationnel","be attentive, be intelligent, be rational",77
2851,démarrer,v,to start up,le feu a démarré dans l’escalier d’un restaurant,the fire broke out in the stairwell of a restaurant,69
2852,coordonner,v,to coordinate,il faut coordonner nos efforts pour le plus grand bien,we have to coordinate our efforts for the greatest good,80
2853,larme,nf,tear,je suis sortie du cinéma en larmes,I left the movie theater in tears,58
2854,sourd,nadj,deaf,le gouvernement fait la sourde oreille,the government is turning a deaf ear,73
2855,cigarette,nf,cigarette,je fumerai bien une cigarette,I would sure like to smoke a cigarette,67
2856,vallée,nf,valley,je marche dans la vallée de la mort,I’m walking in the valley of death,72
2857,artificiel,adj,artificial,je joue à des simulateurs de vie artificielle,I play in artificial life simulations,70
2858,différer,v,"to differ, vary",cette idée diffère sensiblement d’une hypothèse concurrente,this idea differs noticeably from a current hypothesis,68
2859,honorer,v,"to honour, do credit to",c’était un soldat de Rome. honorez sa mémoire,he was a Roman soldier. honor his memory,79
2860,entrevue,nf,"meeting, interview",j’ai l’impression que cette entrevue commence très mal,I have the feeling that this interview has started out very poorly,49
2861,ressort,nm,spring; resort; spirit,l’Etat intervient en dernier ressort,the state intervenes as a last resort,78
2862,fixe,nadj,fixed,j’ai l’idée fixe d’un crime étincelant,I’m fixated on a glittering crime,67
2863,opportunité,nf,"opportunity, timeliness",c’est une merveilleuse opportunité de passer de belles vacances,it’s a wonderful opportunity to take a fine vacation,76
2864,robe,nf,dress,"ta robe te va très bien, ma chérie","your dress looks very nice on you, dear",58
2865,plaque,nf,"plate, tag, plaque",il subsiste un danger local élevé de plaques de neige,there are increased local risks of snow accumulations,55
2866,découler,v,"to ensue, follow",une conséquence importante en découle,an important consequence follows from that,69
2867,décisif,adj,decisive,nous arrivons à un moment décisif,we have come upon a decisive moment,74
2868,piège,nm,trap,c’est un piège dans lequel je ne veux pas tomber,it’s a trap I don’t want to fall into,79
2869,prédire,v,to predict,il lui a prédit qu’elle aurait un enfant,he predicted that she would have a child,82
2870,enterrer,v,"to bury, lay aside",enterre-moi dans un tombeau sans nom,bury me in an unmarked grave,72
2871,refuge,nm,refuge,j’ai trouvé refuge dans de piètres endroits,I found refuge in dismal places,79
2872,recouvrir,v,"to cover, hide, conceal",la Terre est recouverte d’eau,the Earth is covered with water,74
2873,pente,nf,slope,la route gravit maintenant des pentes abruptes,now the road climbs up steep inclines,51
2874,album,nm,album,j’ai toujours rêvé de faire un album,I always dreamt of making an album,52
2875,mixte,adj(f),mixed,trois enfants issus d’un couple mixte périssent dans un incendie,three mixed-race children perish in a fire,65
2876,clinique,nadj(f),clinic,je l’ai emmenée à la clinique,I took her to the clinic,70
2877,spectateur,nm,"member of the audience, spectator, onlooker",les spectateurs s’enfuient épouvantés,"the onlookers fled, terror-stricken",71
2878,axe,nm,"axis, axle, main line","désormais, nous nous concentrons sur deux axes","from now on, we will focus on two dimensions",72
2879,chasseur,nm,"hunter, fighter, page, messenger",je suis un chasseur qui ne tue pas sans hésiter,I’m a hunter who doesn’t kill without hesitation,77
2880,chéri,nadj,"darling, love, dear","bonjour, chéri. comment s’est passée ta journée?","hello, dear. how was your day?",48
2881,peinture,nf,"painting, paint, picture",j’ai pensé à détruire ces peintures pas mal de fois,I thought of destroying these paintings fairly often,72
2882,déchet,nm,"scrap, waste, trash, garbage",les déchets de l’aire métropolitaine continueront de s’accumuler,the trash from the metropolitain area will continue to accumulate,74
2883,siéger,v,to sit,moi-même et mon gouvernement siégions en Algérie,I and my government reign in Algeria,58
2884,grand-chose,nmi,not very much,ça ne veut pas dire grand-chose,that doesn’t mean very much,77
2885,temporaire,adj(f),temporary,la célébrité de tout président est temporaire,the fame of every president is fleeting,74
2886,affiche,nf,"poster, public notice, bill",j’ai mon nom sur des affiches,I have my name on posters,78
2887,massacre,nm,"massacre, slaughter",ce massacre n’a pas été revendiqué,nobody has claimed responsibility for this massacre,69
2888,actualité,nf,"current events, news","le présent, l’actualité ne m’intéressent pas","the present, current events don’t interest me",58
2889,redevenir,v,to become again,je vais redevenir célibataire,I’m going to become single again,76
2890,crucial,adj,"crucial, critical",nous sommes à un moment crucial de notre histoire,we are at a critical moment of our history,74
2891,marine,"adj, nf","marine, navy","aujourd’hui, vous êtes des marines",today you are marines,66
2892,cadavre,nm,corpse,son cadavre apparaîtra à la fin du film,his corpse will appear at the end of the film,68
2893,fleuve,nm,river,le fleuve coule toujours dans le même sens,the river always flows in the same direction,77
2894,toit,nm,roof,ils sont sur le toit de mon bus,they’re on the roof of my bus,67
2895,mécanique,adj(f),mechanical,c’était aussi un piano mécanique,it was also a player piano,70
2896,transparence,nf,transparency,nous préférons le dirigisme à la transparence,we prefer active leadership to transparency,66
2897,amorcer,v,"to bait, prime, begin, initiate",la réaction en chaîne est amorcée,the chain reaction has been initiated,75
2898,détester,v,"to hate, detest","je déteste la viande, je suis végétarien",I hate meat—-I’m a vegetarian,59
2899,fondateur,nm,founder,il faut rappeler le rôle fondateur qu’a joué,let me remind you of the founding role that he played,69
2900,charte,nf,charter,la charte olympique interdit toute discrimination,the Olympic charter forbids any discrimination,61
2901,productivité,nf,productivity,il faut augmenter la productivité du travail,we have to increase work productivity,69
2902,succession,nf,succession,c’est une succession de catastrophes,it’s a succession of catastrophes,77
2903,simplifier,v,to simplify,je pourrais peut-être simplifier les choses pour vous,perhaps I can simplify things for you,81
2904,briller,v,to shine,la lune brillait maintenant dans tout son éclat,the moon shone now in full glory,63
2905,ambitieux,nadj(pl),"ambitious, man with ambition",les socialistes appuient un plan ambitieux,the socialists are supporting an ambitious plan,80
2906,sale,nadj(f),dirty,je déteste cette sale ville,I hate this dirty city,60
2907,consentement,nm,consent,il n’y a pas consentement unanime,there is no unanimous consent,49
2908,chapeau,nm,hat,il se pencha pour ramasser son chapeau et ses sacs,he leaned over to gather his hat and his bags,59
2909,calmer,v,to calm down,j’ai pas besoin de me calmer,I don’t need to calm myself,67
2910,mythe,nm,myth,le mythe grec est le produit d’une tradition orale,the Greek myth is the result of oral tradition,69
2911,alternative,nf,"alternative, choice",il y avait une autre alternative à la guerre,there was another alternative to war,80
2912,soulager,v,"to relieve, soothe, ease","puis je me réveillais, soulagée d’avoir 23 ans","then I woke up, relieved to be 23 years old",79
2913,scrutin,nm,"ballot, poll",nous établirions des dates de scrutin fixes,we will establish fixed dates for voting,61
2914,culpabilité,nf,guilt,la police a rassemblé les preuves établissant leur culpabilité,the police gathered proof to establish their guilt,83
2915,considérablement,adv,"considerably, significantly, extensively",nous proposons de réduire considérablement les impôts,we propose to reduce taxes considerably,73
2916,bouleverser,v,"to upset, distress, disturb, turn upside down",nous avons toujours le moyen de bouleverser le cours des évènements,we always have the means to upset the course of events,76
2917,introduction,nf,introduction,nous ne pouvons accepter l’introduction d’amendements,we cannot accept the introduction of new amendments,65
2918,dramatique,nadj(f),"dramatic, tragic, drama",ça va être dramatique pour la facture de téléphone,the telephone bill will be spectacular,73
2919,vaincre,v,"to beat, defeat, overcome, conquer",nous sommes nés pour vaincre,we were born to conquer,69
2920,pétition,nf,petition,je voudrais déposer cette pétition,I would like to submit this petition,53
2921,renseigner,v,"to give information, get information","renseigne-moi, je veux savoir","tell me, I want to know",79
2922,ordonnance,nf,"prescription, organisation, edict, ruling",le policier ignore si l’ordonnance est encore en vigueur,the policeman doesn’t know whether the ruling is still in effect,79
2923,aile,nf,"wing, sail, blade",l’oiseau battra des ailes jusqu’à sa mort,the bird will beat its wings until its death,73
2924,température,nf,temperature,il faut que j’aille prendre ma température,I have to go take my temperature,60
2925,coupe,nf,"bowl, dish, cut",votre coupe jamais ne sera vide,your bowl will never be empty,70
2926,rayon,nm,"ray, beam, radius; department, section, shelf",un rayon de lune traversait la chambre,a moonbeam shone across the room,67
2927,lèvre,nf,lip,je regardai ses lèvres pleines et roses,"I looked at her full, pink lips",57
2928,promener,v,"to take for a walk, go for a walk",les amis se promènent dans la rue,the friends are walking along the street,61
2929,boulot,"adj, nm","work, job",il a un boulot très sérieux dans l’informatique,he has an important job in computer science,52
2930,correctement,adv,properly,faisons les choses correctement,let’s do things correctly,74
2931,colonne,nf,column,des colonnes de fumée s’élevaient au-dessus des arbres,columns of smoke rose above the trees,63
2932,arranger,v,to arrange,c’est moi qui ai tout arrangé,I’m the one who arranged everything,61
2933,lointain,nadj,"distant, faraway",on voulait aller dans une terre lointaine,we wanted to go to a faraway land,62
2934,danser,v,to dance,"je danserai avec toi, le soir de nos noces","I will dance with you, on our wedding night",62
2935,charbon,nm,coal,la production de charbon est en train de chuter,coal production is falling off,73
2936,passionner,v,"to fascinate, grip",je suis passionné de mon travail,I’m passionate about my work,68
2937,colline,nf,hill,"arrivée au sommet de la colline, elle s’arrêta","reaching the top of the hill, she stopped",73
2938,poésie,nf,poetry,la poésie est souvent dite de façon ennuyeuse,poetry is often recited boringly,59
2939,généraliser,v,to generalize,il faudrait généraliser ce type d’initiatives,we would need to generalize this type of initiative,75
2940,transaction,nf,transaction,le montant de la transaction n’a pas été dévoilé,the amount of the transaction was not revealed,59
2941,extrémité,nf,"end, extremity",l’un d’eux attachait l’autre extrémité,one of them grasped the other end,47
2942,pénal,adj,penal,il permet la clôture des procédures pénales,it allows for termination of criminal proceedings,60
2943,économiste,"nm, nf",economist,je ne connais pas un seul économiste,I don’t know a single economist,73
2944,banlieue,nf,"suburbs, outskirts",on a toujours habité en banlieue,we have always lived in the suburbs,65
2945,bancaire,adj(f),banking,l’entreprise offre des services bancaires aux particuliers et aux sociétés,the firm offers banking services to individuals and to companies,65
2946,défaire,v,"to undo, dismantle, strip, break up","mon lacet est défait, comme d’habitude","my shoelace is undone, as usual",78
2947,calendrier,nm,calendar,nous devrions respecter notre calendrier,we should respect our calendar,70
2948,repas,nm(pl),meal,"c’est le repas kasher? oui, kasher","it’s a kosher meal? yes, kosher",68
2949,cul,nm,"bum, arse, ass",je vais lui botter le cul,I’m gonna kick his ass,54
2950,vouer,v,"to devote, dedicate to, vow to",nous leur vouons un grand respect,we pay them great respect,77
2951,surprenant,adj,surprising,le contraire aurait été moins surprenant,the opposite would have been less surprising,81
2952,paradis,nm(pl),"paradise, heaven",tu aimes notre coin de paradis?,do you like our corner of paradise?,72
2953,transparent,nadj,"transparent, see-through, evident",il faut que les choses soient transparentes,things must be transparent,75
2954,élu,nadj,"elected, elected member",j’exprime ma déception auprès des élus politiques,I express my disappointment to the elected officials,72
2955,tourisme,nm,"tourism, sightseeing",le tourisme culturel est très important,cultural tourism is very important,68
2956,démonstration,nf,demonstration,il a répondu par une démonstration de force,he responded with a demonstration of force,78
2957,gravement,adv,"seriously, solemnly, gravely",deux maisons ont été gravement endommagées,two houses were seriously damaged,79
2958,infraction,nf,"offence, infrigement, infraction",ceux qui commettent des infractions doivent payer,those who break the law must pay,60
2959,tir,nm,"fire, shot, launch",il y a eu des tirs dans le couloir,there were shots fired in the hallway,56
2960,envoi,nm,"sending, dispatching",il faut empêcher l’envoi de ces signaux,you must stop sending these signals,57
2961,arrangement,nm,"arrangement, layout, order, agreement",j’ai conclu un arrangement avec le diable,I made an agreement with the devil,81
